Timing,Site,Bag,Shell,Oyster,Height_mm,Length_mm,Dead.Alive
Deployment,Cutts Cove,10,2,1,20,11,
Deployment,Cutts Cove,10,2,2,28,20,
Deployment,Cutts Cove,10,2,3,10,8,
Deployment,Cutts Cove,10,3,1,26,11,
Deployment,Cutts Cove,10,3,2,15,11,
Deployment,Cutts Cove,10,4,1,15,11,
Deployment,Cutts Cove,10,4,2,18,10,
Deployment,Cutts Cove,10,4,3,30,21,
Deployment,Cutts Cove,10,4,4,20,13,
Deployment,Cutts Cove,10,5,1,7,5,
Deployment,Cutts Cove,10,5,2,15,10,
Deployment,Cutts Cove,10,5,3,26,15,
Deployment,Cutts Cove,10,5,4,16,13,
Deployment,Cutts Cove,10,6,1,28,17,
Deployment,Cutts Cove,10,6,2,38,20,
Deployment,Cutts Cove,10,6,3,10,8,
Deployment,Wagon Hill Farm,11,1,1,16,14,
Deployment,Wagon Hill Farm,11,1,2,15,5,
Deployment,Wagon Hill Farm,11,1,3,7,5,
Deployment,Wagon Hill Farm,11,1,4,20,16,
Deployment,Wagon Hill Farm,11,1,5,21,15,
Deployment,Wagon Hill Farm,11,2,1,20,15,
Deployment,Wagon Hill Farm,11,2,2,18,10,
Deployment,Wagon Hill Farm,11,2,3,10,5,
Deployment,Wagon Hill Farm,11,2,4,10,13,
Deployment,Wagon Hill Farm,11,3,1,20,15,
Deployment,Wagon Hill Farm,11,3,2,21,16,
Deployment,Wagon Hill Farm,11,3,3,20,10,
Deployment,Wagon Hill Farm,11,3,4,18,11,
Deployment,Wagon Hill Farm,11,3,5,17,15,
Deployment,Wagon Hill Farm,11,3,6,20,11,
Deployment,Wagon Hill Farm,11,4,1,32,21,
Deployment,Wagon Hill Farm,11,4,2,25,10,
Deployment,Wagon Hill Farm,11,4,3,10,7,
Deployment,Wagon Hill Farm,11,5,1,15,12,
Deployment,Wagon Hill Farm,11,5,2,22,17,
Deployment,Wagon Hill Farm,11,5,3,18,16,
Deployment,Wagon Hill Farm,11,5,4,20,17,
Deployment,Wagon Hill Farm,11,5,5,27,20,
Deployment,Wagon Hill Farm,11,5,6,10,6,
Deployment,Wagon Hill Farm,11,5,7,32,20,
Deployment,Wagon Hill Farm,11,6,1,20,15,
Deployment,Wagon Hill Farm,11,6,2,21,16,
Deployment,Wagon Hill Farm,11,6,3,20,15,
Deployment,Wagon Hill Farm,11,6,4,17,14,
Deployment,Wagon Hill Farm,11,6,5,18,15,
Deployment,Wagon Hill Farm,11,6,6,20,13,
Deployment,Wagon Hill Farm,11,6,7,27,20,
Deployment,Wagon Hill Farm,11,6,8,30,16,
Deployment,Wagon Hill Farm,11,6,9,20,18,
Deployment,Wagon Hill Farm,11,6,10,23,19,
Deployment,Wagon Hill Farm,11,6,11,30,15,
Deployment,Wagon Hill Farm,12,1,1,20,13,
Deployment,Wagon Hill Farm,12,1,2,14,10,
Deployment,Wagon Hill Farm,12,1,3,13,12,
Deployment,Wagon Hill Farm,12,2,1,20,10,
Deployment,Wagon Hill Farm,12,2,2,26,17,
Deployment,Wagon Hill Farm,12,2,3,21,16,
Deployment,Wagon Hill Farm,12,3,1,23,23,
Deployment,Wagon Hill Farm,12,3,2,24,27,
Deployment,Wagon Hill Farm,12,4,1,25,15,
Deployment,Wagon Hill Farm,12,4,2,18,17,
Deployment,Wagon Hill Farm,12,4,3,17,16,
Deployment,Wagon Hill Farm,12,5,1,16,16,
Deployment,Wagon Hill Farm,12,5,2,17,20,
Deployment,Wagon Hill Farm,12,6,1,28,20,
Deployment,Wagon Hill Farm,12,6,2,31,22,
Deployment,Wagon Hill Farm,12,6,3,30,20,
Deployment,Wagon Hill Farm,12,6,4,18,10,
Deployment,Wagon Hill Farm,12,6,5,15,10,
Deployment,Wagon Hill Farm,13,1,1,31,20,
