system:index,B,G,N,R,training_poly,.geo
138,128.0,130.0,128.0,112.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86369551087326,43.082558730944086]}"
139,128.0,133.0,138.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86365957826189,43.08262161301398]}"
140,127.0,123.0,102.0,106.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86253668415674,43.07193166113295]}"
141,131.0,128.0,140.0,109.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86255465046241,43.072057425272725]}"
142,131.0,130.0,150.0,114.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82447506556859,43.11619165518152]}"
143,156.0,158.0,120.0,147.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90304172031769,43.0730545552381]}"
144,111.0,110.0,63.0,99.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86356974673348,43.082873141293526]}"
145,126.0,130.0,133.0,121.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78731176226457,43.09950994035542]}"
146,159.0,163.0,110.0,154.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90301477085916,43.073072521543786]}"
147,151.0,151.0,161.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74666299565816,43.08290009075205]}"
148,130.0,128.0,118.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82455591394417,43.11611978995879]}"
149,125.0,117.0,116.0,102.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86351584781643,43.082945006516255]}"
150,153.0,152.0,171.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71729706902029,43.0490246213879]}"
151,150.0,150.0,161.0,136.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72040523990334,43.058115572063194]}"
152,154.0,157.0,181.0,142.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71726113640894,43.048970722470855]}"
153,119.0,118.0,123.0,99.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.88523711138645,43.060136781452464]}"
154,151.0,154.0,179.0,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71728808586745,43.048934789859494]}"
155,124.0,123.0,139.0,100.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86364161195621,43.08268449508386]}"
156,141.0,141.0,103.0,135.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82445709926291,43.115850295373555]}"
157,124.0,122.0,47.0,103.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72483393425405,43.05179143246299]}"
158,118.0,108.0,123.0,86.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8625277010039,43.07158131817214]}"
159,130.0,127.0,142.0,105.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86239295371128,43.071814880146015]}"
160,153.0,156.0,91.0,149.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9031315518461,43.07327913405913]}"
161,153.0,163.0,119.0,159.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86364161195621,43.08258568040261]}"
162,141.0,143.0,138.0,128.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72486986686542,43.05177346615731]}"
163,130.0,125.0,152.0,112.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78739261064014,43.09959078873099]}"
164,129.0,134.0,140.0,117.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86367754456757,43.08252279833272]}"
165,136.0,150.0,142.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72495969839383,43.051737533545946]}"
166,140.0,136.0,140.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74624078747462,43.076261540802406]}"
167,130.0,130.0,148.0,107.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86361466249768,43.08273839400091]}"
168,122.0,128.0,57.0,120.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74323143127282,43.067080758598706]}"
169,122.0,121.0,129.0,103.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86376737609598,43.08259466355545]}"
170,131.0,128.0,137.0,109.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86242888632265,43.07182386329886]}"
171,147.0,152.0,175.0,139.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7173869005487,43.04896173931802]}"
172,128.0,127.0,142.0,108.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86368652772042,43.082531781485564]}"
173,126.0,127.0,80.0,114.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86192582976354,43.05876235906776]}"
174,101.0,94.0,85.0,81.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7873387117231,43.099689603412244]}"
175,138.0,139.0,132.0,128.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82446608241575,43.11588622798492]}"
176,148.0,155.0,99.0,150.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82459184655553,43.11603894158322]}"
177,147.0,152.0,172.0,138.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71729706902029,43.04907852030495]}"
178,141.0,141.0,133.0,128.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86232108848856,43.071805896993176]}"
179,151.0,155.0,179.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.71735096793734,43.0490246213879]}"
180,144.0,143.0,160.0,133.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74619587171041,43.07624357449672]}"
181,133.0,135.0,143.0,116.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86245583578116,43.071913694827266]}"
182,140.0,139.0,125.0,126.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86238397055844,43.07195861059147]}"
183,144.0,148.0,106.0,141.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82447506556859,43.11579639645651]}"
184,125.0,122.0,143.0,98.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86373144348461,43.08252279833272]}"
185,134.0,130.0,137.0,111.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8618090487766,43.0587713422206]}"
186,132.0,141.0,152.0,123.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72051303773745,43.05813353836888]}"
187,146.0,152.0,104.0,146.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7337631881782,43.07040452514995]}"
188,139.0,141.0,121.0,131.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.824564897097,43.116155722570156]}"
