system:index,B,G,N,R,training_poly,.geo
975,127.0,146.0,217.0,95.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69450681026218,43.07101537954315]}"
976,97.0,98.0,190.0,66.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93486903083404,43.03399580668459]}"
977,129.0,144.0,227.0,100.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93533615478178,43.03398682353174]}"
978,93.0,97.0,159.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90707515594339,43.071743014923285]}"
979,130.0,138.0,202.0,97.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7236212086205,43.051225493833996]}"
980,140.0,147.0,207.0,110.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72395358527562,43.051333291668094]}"
981,86.0,94.0,132.0,54.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81807007759282,43.20163042185413]}"
982,114.0,121.0,214.0,78.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7237739222188,43.051162611764106]}"
983,114.0,115.0,165.0,76.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69472240593038,43.07117707629429]}"
984,103.0,86.0,148.0,65.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74130005341196,43.063218002876994]}"
985,100.0,103.0,190.0,64.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72367510753755,43.0505068416067]}"
986,106.0,107.0,198.0,73.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74041970443353,43.062939525138916]}"
987,123.0,135.0,216.0,85.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72439375976484,43.051063797082854]}"
988,116.0,117.0,189.0,78.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74147073331595,43.06312817134858]}"
989,110.0,117.0,216.0,74.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72415121463813,43.05104583077717]}"
990,128.0,136.0,203.0,95.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72450155759893,43.05088413402603]}"
991,103.0,86.0,61.0,59.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81877974666727,43.20181906806379]}"
992,97.0,71.0,104.0,57.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90701227387349,43.07178793068749]}"
993,106.0,101.0,169.0,68.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85484710532468,43.05140515689082]}"
994,98.0,93.0,172.0,62.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9349049634454,43.03409462136584]}"
995,94.0,99.0,180.0,60.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93543496946303,43.03385207623913]}"
996,118.0,134.0,215.0,87.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93507564334939,43.034552762160736]}"
997,103.0,111.0,183.0,70.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81814194281556,43.20194483220357]}"
998,132.0,146.0,228.0,98.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85470337487922,43.0514231231965]}"
999,92.0,80.0,113.0,56.0,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72372900645459,43.0511176959999]}"
