system:index,B,G,Lidar,N,R,training_poly,.geo
949,95,91,3.9834387,118,83,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.740925016136,43.06317071287512]}"
950,86,93,4.1742525,144,72,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74144273871246,43.06303087428967]}"
951,106,100,2.43543,114,98,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72410184227934,43.05142129736608]}"
952,78,84,3.8793726,114,67,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93529913048313,43.034458519515375]}"
953,62,80,12.560162,126,53,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81836927266757,43.2016651947904]}"
954,64,58,5.7091017,88,46,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74143208788881,43.06292276888051]}"
955,100,116,5.141731,125,108,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93558401268939,43.034235297671565]}"
956,100,112,8.772625,151,95,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93509481666744,43.03409714632122]}"
957,64,62,2.2204163,67,54,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.77994356340604,43.09870292246143]}"
958,88,94,2.335366,86,78,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69513795684641,43.07141466604088]}"
959,70,82,6.4100747,137,73,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82509673505322,43.16427790867534]}"
960,112,125,12.602198,136,119,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.9348489894891,43.03413158135739]}"
961,84,85,5.4141064,103,75,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86059254671531,43.081386327938645]}"
962,102,114,5.2398543,146,92,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86074910863523,43.08162147226064]}"
963,93,114,19.221502,176,92,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81754358870745,43.20175808465678]}"
964,122,123,4.2139287,150,131,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72401468824727,43.050700449633986]}"
965,79,81,2.95422,138,56,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72352764318693,43.051245535598284]}"
966,90,90,3.4379804,121,80,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74098571481741,43.06321621194007]}"
967,65,68,8.283158,82,58,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81868728465403,43.20180257357193]}"
968,72,70,5.252206,82,72,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69445715168243,43.07098580925326]}"
969,80,82,13.142027,115,84,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72430495109792,43.050180746097325]}"
970,70,90,12.765074,143,66,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81835696951869,43.201665103559264]}"
971,74,85,6.3161054,122,72,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93520257375232,43.03432287717423]}"
972,94,108,7.435405,172,80,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74122422329734,43.06286707836975]}"
973,94,106,19.489439,122,106,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.8174948753913,43.20172171744999]}"
974,82,98,6.441274,129,94,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82486274665662,43.164303191654994]}"
975,116,135,6.174578,157,148,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82526899789937,43.16427017421496]}"
976,101,106,1.5812681,130,105,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85540196153431,43.05129323250352]}"
977,77,77,11.068109,104,74,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74047639067643,43.06279801676403]}"
978,72,65,9.078641,76,63,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72387113932155,43.050456223228785]}"
979,81,82,1.1330644,62,69,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90672495096611,43.07183622848169]}"
980,58,63,5.7244053,100,59,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82524329475562,43.16435099837045]}"
981,48,46,5.6467857,69,41,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74155524505352,43.06289675976931]}"
982,72,74,18.046816,84,62,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81776080258416,43.20206574451138]}"
983,81,85,7.293232,113,70,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7404734097019,43.062996028006395]}"
984,102,106,2.5103378,133,109,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72353481282518,43.051578654715065]}"
985,72,75,8.294585,113,58,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81853690350003,43.20199948971823]}"
986,66,73,13.282783,109,57,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81829570321048,43.20164664642047]}"
987,68,68,-0.2929029,144,62,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.78017576013691,43.098785735656286]}"
988,112,126,2.6350532,146,118,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90699816694271,43.071585997178694]}"
989,98,96,7.3353996,100,82,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81874880054241,43.20180302953795]}"
990,122,135,2.4238522,150,138,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90675228602166,43.07161136949088]}"
991,93,100,6.098072,96,90,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69433282094855,43.07108377030714]}"
992,104,127,3.3639274,163,98,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90710499505104,43.07188375979369]}"
993,88,100,6.4366026,141,86,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.93516490842146,43.034394649892484]}"
994,76,85,4.685137,123,68,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.69464101553999,43.071005374417446]}"
995,112,131,3.9096699,158,113,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90714216078362,43.071857001617154]}"
996,68,77,16.546005,125,60,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81787627330102,43.20172454787707]}"
997,112,117,3.5535839,136,117,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.85493202007488,43.051559949387915]}"
998,62,60,4.537528,100,52,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.72431860977004,43.050891986857316]}"
999,48,52,9.559386,86,44,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.81842617455277,43.201998668747535]}"
